tape_id,as_of_date,loan_id,source_row_index,loan_status,loan_type,loan_amount_eur,interest_rate_pct,loan_term_months,disbursal_date,expected_repayment_date,diary_readable,diary_truncated,diary_raw_chars,records_parsed,records_salvaged,dropped_tail_chars,parse_error,regular_rows,paid_rows,open_rows,closure_rows,duplicate_rows,early_repayment_rows,termination_rows,rows_with_parse_issues,periods_in_diary,periods_with_interest_row,periods_with_principal_row,periods_interest_without_principal,first_due_date,last_due_date,schedule_months_beyond_diary,first_actual_date,last_actual_date,next_due_date,overdue_open_rows,overdue_open_eur,max_days_past_due,paid_late_rows,paid_late_share,median_delay_days,worst_delay_days,longest_late_streak,delay_trend_days,usual_due_day,usual_paid_day,principal_paid_eur,principal_via_closure_eur,fee_paid_eur,interest_paid_eur,overdue_interest_paid_eur,settlement_cash_eur,pending_eur,principal_outstanding_end_eur,summary_repaid_principal_eur,summary_outstanding_principal_eur,summary_repaid_interest_eur,summary_days_late
0fd46b6c118d,2025-01-23,37216892,0,terminated,instalment,13200.0,22.0,25,2022-05-12,2024-05-20,True,False,24290,137,0,0,,47,41,6,88,0,0,1,0,17,15,14,1,2022-05-20,2027-01-20,0,2022-05-20,2023-05-31,,6,812.74,583.0,3,0.077,0.0,17.0,3,-2.7,20.0,20.0,8693.52,8135.33,839.61,2644.8,0.77,0.0,812.74,3666.87,9533.13,3666.87,2644.8,271
0fd46b6c118d,2025-01-23,99981632,1,repaid,instalment,1365.0,17.0,7,2024-02-14,2024-08-25,True,False,32175,182,0,0,,25,25,0,154,0,0,0,0,11,7,7,0,2024-02-25,2030-07-25,0,2024-02-25,2024-08-29,,0,0.0,,10,0.476,4.0,22.0,6,2.7,25.0,25.0,1244.88,1192.76,120.12,14.25,0.79,0.0,0.0,-0.0,1365.0,0.0,14.25,0
0fd46b6c118d,2025-01-23,13752758,2,repaid,instalment,2000.0,24.0,12,2023-10-30,2024-10-29,True,False,4743,27,0,0,,25,25,0,0,0,2,0,0,12,8,7,1,2023-11-29,2024-06-28,4,2023-12-20,2024-06-28,,0,0.0,,6,0.4,5.0,21.0,2,-5.8,29.0,29.0,1108.59,0.0,0.0,226.72,5.03,891.41,0.0,0.0,2000.0,0.0,226.72,0
0fd46b6c118d,2025-01-23,19972183,3,repaid,instalment,1000.0,14.0,24,2022-10-26,2024-10-25,True,False,14184,81,0,0,,80,80,0,0,0,1,0,0,36,23,21,2,2022-11-25,2024-09-16,1,2022-11-25,2024-09-16,,0,0.0,,15,0.341,0.0,57.0,15,24.5,25.0,25.0,859.27,0.0,0.0,151.39,5.29,118.14,0.0,22.59,1000.0,0.0,151.39,0
0fd46b6c118d,2025-01-23,94863476,4,repaid,instalment,25000.0,10.0,36,2022-01-20,2025-01-20,True,False,14699,85,0,0,,85,83,2,0,0,0,0,0,41,36,36,0,2022-02-20,2025-01-20,0,2022-02-20,2024-12-23,,2,806.68,3.0,7,0.1,2.0,15.0,2,0.9,20.0,20.0,24199.97,0.0,0.0,4033.83,6.82,0.0,806.68,800.03,25000.0,0.0,4040.48,0
0fd46b6c118d,2025-01-23,17611322,5,repaid,deferred annuity,129.0,33.0,12,2023-11-03,2024-11-01,True,False,6139,36,0,0,,10,10,0,24,0,1,0,0,10,1,9,1,2023-12-01,2026-09-01,0,2023-12-01,2024-09-02,,0,0.0,,0,0.0,0.0,0.0,0,0.0,1.0,1.0,113.55,81.33,0.0,0.01,0.0,12.88,0.0,2.57,129.0,0.0,0.01,0
0fd46b6c118d,2025-01-23,31397492,6,repaid,instalment,4400.0,22.0,7,2022-12-19,2023-06-28,True,False,24265,137,0,0,,26,26,0,108,0,0,0,0,10,7,7,0,2022-12-30,2027-08-28,0,2023-01-16,2023-09-15,,0,0.0,,16,0.762,18.0,140.0,9,70.8,28.0,15.0,4092.0,3810.35,308.0,195.91,7.22,0.0,0.0,0.0,4400.0,0.0,195.91,0
0fd46b6c118d,2025-01-23,35294697,7,repaid,deferred annuity,263.0,25.0,12,2023-11-07,2024-11-06,True,False,5968,35,0,0,,9,9,0,24,0,1,0,0,9,0,9,0,2023-12-06,2026-09-06,0,2023-12-06,2024-09-06,,0,0.0,,0,0.0,0.0,0.0,0,0.0,6.0,6.0,233.98,168.28,0.0,0.0,0.0,26.28,0.0,2.74,263.0,0.0,,0
0fd46b6c118d,2025-01-23,36885572,8,repaid,instalment,860.0,22.0,12,2022-09-12,2023-09-12,True,False,6817,39,0,0,,37,37,0,0,0,0,0,0,13,12,12,0,2022-10-12,2023-09-28,0,2022-10-12,2023-09-28,,0,0.0,,3,0.083,1.0,16.0,3,2.5,12.0,12.0,799.8,0.0,60.2,100.24,0.7,0.0,0.0,0.0,860.0,0.0,100.24,0
0fd46b6c118d,2025-01-23,46313736,9,repaid,deferred annuity,479.0,19.0,10,2023-07-14,2024-05-14,True,False,6340,37,0,0,,9,9,0,26,0,1,0,0,9,0,9,0,2023-08-14,2026-07-14,0,2023-08-14,2024-04-16,,0,0.0,,0,0.0,0.0,0.0,0,0.0,14.0,14.0,465.69,345.9,0.0,0.0,0.0,3.24,0.0,10.07,479.0,0.0,,0
0fd46b6c118d,2025-01-23,53926762,10,repaid,instalment,1290.0,22.0,12,2022-10-03,2023-09-20,True,False,7582,43,0,0,,41,41,0,0,0,0,0,0,16,12,12,0,2022-10-20,2023-11-17,0,2022-10-20,2023-11-21,,0,0.0,,15,0.417,3.0,89.0,6,22.5,20.0,23.0,1199.7,0.0,90.3,140.98,13.99,0.0,0.0,-0.0,1290.0,0.0,140.98,0
0fd46b6c118d,2025-01-23,56689556,11,repaid,instalment,330.0,22.0,12,2023-07-19,2024-07-15,True,False,8651,49,0,0,,47,47,0,0,0,0,0,0,23,12,12,0,2023-08-15,2024-07-15,0,2023-08-15,2024-07-15,,0,0.0,,14,0.389,2.5,35.0,10,-17.7,15.0,15.0,300.14,0.0,29.86,36.97,1.48,0.0,0.0,0.0,330.0,0.0,36.97,0
0fd46b6c118d,2025-01-23,57949284,12,repaid,instalment,380.0,22.0,12,2022-10-26,2023-10-15,True,False,6999,40,0,0,,38,38,0,0,0,0,0,0,13,12,12,0,2022-11-15,2023-10-15,0,2022-11-16,2023-10-16,,0,0.0,,3,0.083,1.0,35.0,3,-7.9,15.0,16.0,353.4,0.0,26.6,42.08,0.58,0.0,0.0,0.0,380.0,0.0,42.08,0
0fd46b6c118d,2025-01-23,58271697,13,repaid,deferred annuity,367.0,21.0,19,2023-07-19,2025-02-19,True,False,4968,29,0,0,,10,10,0,17,0,1,0,0,10,1,9,1,2023-08-19,2025-10-19,0,2023-08-19,2024-05-21,,0,0.0,,0,0.0,0.0,0.0,0,0.0,19.0,19.0,241.29,149.4,0.0,0.14,0.0,117.49,0.0,8.22,367.0,0.0,0.14,0
0fd46b6c118d,2025-01-23,61752881,14,repaid,instalment,515.0,22.0,12,2023-08-28,2024-08-25,True,False,5166,29,0,0,,26,26,0,0,0,0,1,0,10,8,7,1,2023-09-25,2024-06-05,2,2023-10-11,2024-07-10,,0,0.0,,21,0.913,107.0,228.0,18,59.3,25.0,10.0,253.33,0.0,46.61,51.48,8.06,215.06,0.0,-0.0,515.0,0.0,51.48,0
0fd46b6c118d,2025-01-23,65318525,15,repaid,instalment,5850.0,21.0,48,2022-03-09,2026-02-15,True,False,16660,93,0,0,,93,93,0,0,0,0,0,0,24,11,10,1,2022-03-15,2023-07-27,31,2022-03-15,2024-02-07,,0,0.0,,29,0.906,166.0,237.0,29,74.8,15.0,26.0,656.05,0.0,529.42,2587.32,66.2,0.0,0.0,4664.53,5850.0,0.0,2587.32,0
0fd46b6c118d,2025-01-23,73224837,16,repaid,instalment,540.0,15.0,12,2023-05-26,2024-05-12,True,False,7749,44,0,0,,42,42,0,0,0,0,0,0,17,12,12,0,2023-06-12,2024-06-07,0,2023-06-12,2024-06-07,,0,0.0,,18,0.5,8.0,62.0,6,18.0,12.0,12.0,507.6,0.0,32.4,40.28,3.18,0.0,0.0,-0.0,540.0,0.0,40.28,0
