loan_id,source_row_index,verdict,tier,severity,data_integrity,credit_event,validation_coverage,loan_status,finding_count,finding_groups,rule_ids,primary_reason,all_reasons,checks_passed,checks_failed,checks_not_evaluable
37216892,0,flagged,major,critical,unknown,default,partial,terminated,4,record_consistency;repayment_behaviour,C6;E3;H10;F2,5 payment component(s) across 2 due date(s) with EUR 755.66 still unpaid and 90+ days past due; oldest due 2023-06-20 is 583 days overdue at 2025-01-23,"[C6] 1 open row(s) partially paid; 1 with no repayment date recorded for the part-payment (e.g. state 'pending late', amount EUR 63.98, pending EUR 32.63) | [E3] loan is terminated with EUR 4,043.23 unresolved: 6 unpaid payment component(s) across 2 due date(s) totalling EUR 812.74 plus 1 pending termination claim(s) of EUR 3,230.49 | [H10] employment and income fields merit contextual review | [F2] 5 payment component(s) across 2 due date(s) with EUR 755.66 still unpaid and 90+ days past due; oldest due 2023-06-20 is 583 days overdue at 2025-01-23",38,4,8
99981632,1,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,44,0,6
13752758,2,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,42,0,8
19972183,3,flagged,major,medium,defect,watch,full,repaid,3,record_consistency;repayment_behaviour,B1;B3;F3,"diary principal EUR 977.41 (scheduled EUR 859.27 + settlements EUR 118.14) falls short of Loan amount EUR 1,000.00 by EUR 22.59; summary principal split (repaid + outstanding) also reports EUR 1,000.00, so EUR 22.59 is not traceable to any diary row","[B1] diary principal EUR 977.41 (scheduled EUR 859.27 + settlements EUR 118.14) falls short of Loan amount EUR 1,000.00 by EUR 22.59; summary principal split (repaid + outstanding) also reports EUR 1,000.00, so EUR 22.59 is not traceable to any diary row | [B3] diary shows EUR 977.41 principal paid but summary Repaid principal is EUR 1,000.00 (gap EUR -22.59) | [F3] 8 payment component(s) across 6 due date(s) paid 30-89 days late (worst: due 2024-06-25, paid 2024-08-21, 57 days)",39,3,8
94863476,4,flagged,major,high,defect,none,full,repaid,5,record_consistency,A6;B3;B4;B5;E1,loan is marked 'repaid' but 2 payment component(s) across 1 due date(s) with EUR 806.68 still unpaid in the diary,"[A6] categorical fields contain missing, unknown or untranslated values | [B3] diary shows EUR 24,199.97 principal paid but summary Repaid principal is EUR 25,000.00 (gap EUR -800.03) | [B4] diary shows EUR 4,033.83 interest paid but summary Repaid interest is EUR 4,040.48 (gap EUR -6.65) | [B5] diary shows EUR 6.65 interest still pending but summary Outstanding interest is EUR 0.00 (gap EUR +6.65) | [E1] loan is marked 'repaid' but 2 payment component(s) across 1 due date(s) with EUR 806.68 still unpaid in the diary",36,5,9
17611322,5,flagged,major,medium,defect,none,full,repaid,3,record_consistency,B1;B3;C2,"diary principal EUR 126.43 (scheduled EUR 113.55 + settlements EUR 12.88) falls short of Loan amount EUR 129.00 by EUR 2.57; summary principal split (repaid + outstanding) also reports EUR 129.00, so EUR 2.57 is not traceable to any diary row","[B1] diary principal EUR 126.43 (scheduled EUR 113.55 + settlements EUR 12.88) falls short of Loan amount EUR 129.00 by EUR 2.57; summary principal split (repaid + outstanding) also reports EUR 129.00, so EUR 2.57 is not traceable to any diary row | [B3] diary shows EUR 126.43 principal paid but summary Repaid principal is EUR 129.00 (gap EUR -2.57) | [C2] stated rate 33% versus realised -2.8% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.01 interest actually paid); review against early-settlement/deferred-annuity terms; principal shortfall EUR 2.57 is linked to B1",42,3,5
31397492,6,flagged,major,high,clean,default,full,repaid,5,record_consistency;repayment_behaviour,C1;H3;F1;F3;G6,"4 payment component(s) across 2 due date(s) paid 90+ days late; worst: due 2023-04-28, paid 2023-09-15 (140 days after scheduled date)","[C1] 4 of 7 interest instalments do not match balance x 22% / 12 (e.g. due 2022-12-30: row EUR 27.51, expected EUR 80.67) | [H3] Monthly payment exceeds the configured income share; review affordability | [F1] 4 payment component(s) across 2 due date(s) paid 90+ days late; worst: due 2023-04-28, paid 2023-09-15 (140 days after scheduled date) | [F3] 6 payment component(s) across 3 due date(s) paid 30-89 days late (worst: due 2023-03-28, paid 2023-06-19, 83 days) | [G6] 16 of 21 instalments paid more than 5 days late (median 18 d, worst 140 d, trend +70.8 d, worsening) - chronic lateness escalating to default",38,5,7
35294697,7,flagged,major,medium,defect,none,full,repaid,3,record_consistency,B1;B3;C2,"diary principal EUR 260.26 (scheduled EUR 233.98 + settlements EUR 26.28) falls short of Loan amount EUR 263.00 by EUR 2.74; summary principal split (repaid + outstanding) also reports EUR 263.00, so EUR 2.74 is not traceable to any diary row","[B1] diary principal EUR 260.26 (scheduled EUR 233.98 + settlements EUR 26.28) falls short of Loan amount EUR 263.00 by EUR 2.74; summary principal split (repaid + outstanding) also reports EUR 263.00, so EUR 2.74 is not traceable to any diary row | [B3] diary shows EUR 260.26 principal paid but summary Repaid principal is EUR 263.00 (gap EUR -2.74) | [C2] stated rate 25% versus realised -1.5% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.00 interest actually paid); review against early-settlement/deferred-annuity terms; principal shortfall EUR 2.74 is linked to B1",42,3,5
36885572,8,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,45,0,5
46313736,9,flagged,major,medium,defect,none,full,repaid,3,record_consistency,B1;B3;C2,"diary principal EUR 468.93 (scheduled EUR 465.69 + settlements EUR 3.24) falls short of Loan amount EUR 479.00 by EUR 10.07; summary principal split (repaid + outstanding) also reports EUR 479.00, so EUR 10.07 is not traceable to any diary row","[B1] diary principal EUR 468.93 (scheduled EUR 465.69 + settlements EUR 3.24) falls short of Loan amount EUR 479.00 by EUR 10.07; summary principal split (repaid + outstanding) also reports EUR 479.00, so EUR 10.07 is not traceable to any diary row | [B3] diary shows EUR 468.93 principal paid but summary Repaid principal is EUR 479.00 (gap EUR -10.07) | [C2] stated rate 19% versus realised -3.2% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.00 interest actually paid); review against early-settlement/deferred-annuity terms; principal shortfall EUR 10.07 is linked to B1",42,3,5
