tape_id,loan_id,source_row_index,payment_seq,instalment_no,period_no,event_kind,due_date,due_year_month,due_day_of_month,actual_date,actual_year_month,actual_day_of_month,delay_days,days_past_due,delay_bucket,is_late,is_overdue,is_future_scheduled,type,type_raw,state,state_raw,is_paid,amount_eur,pending_eur,paid_eur,reduces_principal,cum_principal_paid_eur,principal_outstanding_after_eur,implied_annual_rate_pct,is_regular_cash,is_closure_row,is_settlement_marker,is_aborted_settlement,is_duplicate,record_loan_id,record_loan_id_matches,parse_issues
0fd46b6c118d,37216892,0,0,,,termination,2024-04-26,2024-04,26,,,,,272.0,overdue_90+,False,True,False,repayment after agreement termination,repayment after agreement termination,pending late,pending late,False,3230.49,3230.49,0.0,True,9533.13,3666.87,,False,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,1,1.0,17.0,schedule,2024-04-26,2024-04,26,,,,,272.0,overdue_90+,False,True,False,contract fee repayment,contract fee repayment,pending late,pending late,False,162.06,162.06,0.0,True,9533.13,3666.87,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,2,,17.0,schedule,2024-04-26,2024-04,26,,,,,272.0,overdue_90+,False,True,False,interest,interest,pending late,pending late,False,286.65,286.65,0.0,False,,,93.81,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,3,,,settlement_marker,2023-05-31,2023-05,31,2023-05-31,2023-05,31.0,0.0,,on_time,False,False,False,partial early repayment,partial early repayment,paid on time,paid on time,True,8135.33,0.0,0.0,False,,,,False,False,True,False,False,37216892,True,
0fd46b6c118d,37216892,0,4,,1.0,schedule,2022-05-20,2022-05,20,2022-05-20,2022-05,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,59.56,0.0,59.56,False,,,5.41,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,5,,2.0,schedule,2022-06-20,2022-06,20,2022-06-20,2022-06,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,221.86,0.0,221.86,False,,,20.32,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,6,,3.0,schedule,2022-07-20,2022-07,20,2022-08-06,2022-08,6.0,17.0,,1-29,True,False,False,interest,interest,paid with delay,paid with delay,True,220.32,0.0,220.32,False,,,20.33,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,7,,6.0,schedule,2022-08-20,2022-08,20,2022-08-20,2022-08,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,218.76,0.0,218.76,False,,,20.34,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,8,,7.0,schedule,2022-09-20,2022-09,20,2022-09-20,2022-09,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,217.16,0.0,217.16,False,,,20.35,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,9,,8.0,schedule,2022-10-20,2022-10,20,2022-10-20,2022-10,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,215.54,0.0,215.54,False,,,20.37,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,10,,9.0,schedule,2022-11-20,2022-11,20,2022-11-20,2022-11,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,213.87,0.0,213.87,False,,,20.38,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,11,,10.0,schedule,2022-12-20,2022-12,20,2022-12-20,2022-12,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,212.18,0.0,212.18,False,,,20.39,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,12,,11.0,schedule,2023-01-20,2023-01,20,2023-01-20,2023-01,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,210.44,0.0,210.44,False,,,20.4,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,13,,12.0,schedule,2023-02-20,2023-02,20,2023-02-20,2023-02,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,208.68,0.0,208.68,False,,,20.41,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,14,,13.0,schedule,2023-03-20,2023-03,20,2023-03-20,2023-03,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,206.88,0.0,206.88,False,,,20.43,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,15,,14.0,schedule,2023-04-20,2023-04,20,2023-04-20,2023-04,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,205.04,0.0,205.04,False,,,20.44,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,16,,15.0,schedule,2023-05-20,2023-05,20,2023-05-20,2023-05,20.0,0.0,,on_time,False,False,False,interest,interest,paid on time,paid on time,True,203.16,0.0,203.16,False,,,20.45,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,17,,16.0,schedule,2023-06-20,2023-06,20,,,,,583.0,overdue_90+,False,True,False,interest,interest,pending late,pending late,False,63.98,32.63,31.35,False,,,20.94,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,18,2.0,1.0,schedule,2022-05-20,2022-05,20,2022-05-20,2022-05,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,81.95,0.0,81.95,True,81.95,13118.05,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,19,3.0,1.0,schedule,2022-05-20,2022-05,20,2022-05-20,2022-05,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,96.68,13103.32,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,20,4.0,2.0,schedule,2022-06-20,2022-06,20,2022-06-20,2022-06,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,83.63,0.0,83.63,True,180.31,13019.69,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,21,5.0,2.0,schedule,2022-06-20,2022-06,20,2022-06-20,2022-06,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,195.04,13004.96,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,22,6.0,3.0,schedule,2022-07-20,2022-07,20,2022-08-06,2022-08,6.0,17.0,,1-29,True,False,False,principal,principal,paid with delay,paid with delay,True,85.34,0.0,85.34,True,280.38,12919.62,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,23,7.0,3.0,schedule,2022-07-20,2022-07,20,2022-08-06,2022-08,6.0,17.0,,1-29,True,False,False,contract fee repayment,contract fee repayment,paid with delay,paid with delay,True,14.73,0.0,14.73,True,295.11,12904.89,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,24,8.0,6.0,schedule,2022-08-20,2022-08,20,2022-08-20,2022-08,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,87.08,0.0,87.08,True,382.19,12817.81,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,25,9.0,6.0,schedule,2022-08-20,2022-08,20,2022-08-20,2022-08,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,396.92,12803.08,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,26,10.0,7.0,schedule,2022-09-20,2022-09,20,2022-09-20,2022-09,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,88.86,0.0,88.86,True,485.78,12714.22,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,27,11.0,7.0,schedule,2022-09-20,2022-09,20,2022-09-20,2022-09,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,500.51,12699.49,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,28,12.0,8.0,schedule,2022-10-20,2022-10,20,2022-10-20,2022-10,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,90.67,0.0,90.67,True,591.18,12608.82,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,29,13.0,8.0,schedule,2022-10-20,2022-10,20,2022-10-20,2022-10,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,605.91,12594.09,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,30,14.0,9.0,schedule,2022-11-20,2022-11,20,2022-11-20,2022-11,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,92.53,0.0,92.53,True,698.44,12501.56,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,31,15.0,9.0,schedule,2022-11-20,2022-11,20,2022-11-20,2022-11,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,713.17,12486.83,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,32,16.0,10.0,schedule,2022-12-20,2022-12,20,2022-12-20,2022-12,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,94.42,0.0,94.42,True,807.59,12392.41,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,33,17.0,10.0,schedule,2022-12-20,2022-12,20,2022-12-20,2022-12,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,822.32,12377.68,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,34,18.0,11.0,schedule,2023-01-20,2023-01,20,2023-01-20,2023-01,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,96.35,0.0,96.35,True,918.67,12281.33,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,35,19.0,11.0,schedule,2023-01-20,2023-01,20,2023-01-20,2023-01,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,933.4,12266.6,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,36,20.0,12.0,schedule,2023-02-20,2023-02,20,2023-02-20,2023-02,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,98.32,0.0,98.32,True,1031.72,12168.28,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,37,21.0,12.0,schedule,2023-02-20,2023-02,20,2023-02-20,2023-02,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,1046.45,12153.55,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,38,22.0,13.0,schedule,2023-03-20,2023-03,20,2023-03-20,2023-03,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,100.32,0.0,100.32,True,1146.77,12053.23,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,39,23.0,13.0,schedule,2023-03-20,2023-03,20,2023-03-20,2023-03,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,1161.5,12038.5,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,40,24.0,14.0,schedule,2023-04-20,2023-04,20,2023-04-20,2023-04,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,102.37,0.0,102.37,True,1263.87,11936.13,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,41,25.0,14.0,schedule,2023-04-20,2023-04,20,2023-04-20,2023-04,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,1278.6,11921.4,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,42,26.0,15.0,schedule,2023-05-20,2023-05,20,2023-05-20,2023-05,20.0,0.0,,on_time,False,False,False,principal,principal,paid on time,paid on time,True,104.47,0.0,104.47,True,1383.07,11816.93,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,43,27.0,15.0,schedule,2023-05-20,2023-05,20,2023-05-20,2023-05,20.0,0.0,,on_time,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,1397.8,11802.2,,True,False,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,44,,,closure,2023-06-20,2023-06,20,2023-05-31,2023-05,31.0,-20.0,,early,False,False,False,principal,principal,paid on time,paid on time,True,106.6,0.0,106.6,True,1504.4,11695.6,,False,True,False,False,False,37216892,True,
0fd46b6c118d,37216892,0,45,,,closure,2023-06-20,2023-06,20,2023-05-31,2023-05,31.0,-20.0,,early,False,False,False,contract fee repayment,contract fee repayment,paid on time,paid on time,True,14.73,0.0,14.73,True,1519.13,11680.87,,False,True,False,False,False,37216892,True,
